"Step","GPR - train_loss/total_loss","GPR - train_loss/total_loss__MIN","GPR - train_loss/total_loss__MAX","APPNP - train_loss/total_loss","APPNP - train_loss/total_loss__MIN","APPNP - train_loss/total_loss__MAX","2HopConv - train_loss/total_loss","2HopConv - train_loss/total_loss__MIN","2HopConv - train_loss/total_loss__MAX","NewConvForm - train_loss/total_loss","NewConvForm - train_loss/total_loss__MIN","NewConvForm - train_loss/total_loss__MAX","Base-SwinT - train_loss/total_loss","Base-SwinT - train_loss/total_loss__MIN","Base-SwinT - train_loss/total_loss__MAX"
"0","51.11067545413971","51.11067545413971","51.11067545413971","51.9736270904541","51.9736270904541","51.9736270904541","51.34290397167206","51.34290397167206","51.34290397167206","51.545077204704285","51.545077204704285","51.545077204704285","53.32127112150192","53.32127112150192","53.32127112150192"
"1","49.92960101366043","49.92960101366043","49.92960101366043","50.83780699968338","50.83780699968338","50.83780699968338","49.93654507398605","49.93654507398605","49.93654507398605","49.89509844779968","49.89509844779968","49.89509844779968","50.76244205236435","50.76244205236435","50.76244205236435"
"2","47.787131771445274","47.787131771445274","47.787131771445274","48.57913187146187","48.57913187146187","48.57913187146187","49.301392301917076","49.301392301917076","49.301392301917076","49.139852434396744","49.139852434396744","49.139852434396744","48.45251753926277","48.45251753926277","48.45251753926277"
"3","48.510423853993416","48.510423853993416","48.510423853993416","48.939628042280674","48.939628042280674","48.939628042280674","49.10588160157204","49.10588160157204","49.10588160157204","48.45173487812281","48.45173487812281","48.45173487812281","48.28745386004448","48.28745386004448","48.28745386004448"
"4","47.86789619922638","47.86789619922638","47.86789619922638","47.61294536665082","47.61294536665082","47.61294536665082","48.02049741148949","48.02049741148949","48.02049741148949","47.84795407950878","47.84795407950878","47.84795407950878","48.153890278190374","48.153890278190374","48.153890278190374"
"5","49.56242557801306","49.56242557801306","49.56242557801306","47.774358946830034","47.774358946830034","47.774358946830034","48.63424396328628","48.63424396328628","48.63424396328628","47.133212983608246","47.133212983608246","47.133212983608246","48.2128812354058","48.2128812354058","48.2128812354058"
"6","49.870610777288675","49.870610777288675","49.870610777288675","49.0982963424176","49.0982963424176","49.0982963424176","48.22540948539972","48.22540948539972","48.22540948539972","46.9623671611771","46.9623671611771","46.9623671611771","47.351273597218096","47.351273597218096","47.351273597218096"
"7","48.39376659411937","48.39376659411937","48.39376659411937","47.551759145222604","47.551759145222604","47.551759145222604","46.88317308668047","46.88317308668047","46.88317308668047","47.515102616511285","47.515102616511285","47.515102616511285","48.38842712715268","48.38842712715268","48.38842712715268"
"8","47.34202319942415","47.34202319942415","47.34202319942415","48.817932658828795","48.817932658828795","48.817932658828795","47.35503313317895","47.35503313317895","47.35503313317895","48.75562538392842","48.75562538392842","48.75562538392842","49.010963743552566","49.010963743552566","49.010963743552566"
"9","49.3159870672971","49.3159870672971","49.3159870672971","47.61348816379905","47.61348816379905","47.61348816379905","45.51390465674922","45.51390465674922","45.51390465674922","47.87473491206765","47.87473491206765","47.87473491206765","47.36380746262148","47.36380746262148","47.36380746262148"
